pclass,age,sibsp,parch,fare
,22.0,1.0,0.0,7.25
1.0,38.0,,0.0,71.2833
3.0,26.0,0.0,0.0,
1.0,35.0,,0.0,53.1
3.0,35.0,0.0,0.0,8.05
,,0.0,0.0,51.8625
,,,,21.075
3.0,27.0,0.0,2.0,11.1333
2.0,14.0,1.0,0.0,
,4.0,1.0,1.0,16.7
1.0,,,0.0,26.55
3.0,20.0,0.0,,8.05
3.0,,1.0,,31.275
3.0,14.0,,0.0,7.8542
,55.0,0.0,0.0,16.0
3.0,,4.0,1.0,29.125
,31.0,1.0,0.0,18.0
2.0,35.0,0.0,,26.0
2.0,34.0,0.0,,13.0
3.0,,0.0,0.0,8.0292
1.0,28.0,,0.0,35.5
3.0,8.0,3.0,1.0,
3.0,38.0,1.0,5.0,31.3875
1.0,19.0,3.0,2.0,263.0
,40.0,0.0,0.0,
2.0,66.0,0.0,0.0,10.5
1.0,28.0,1.0,0.0,
1.0,42.0,1.0,0.0,
3.0,,0.0,0.0,
3.0,18.0,2.0,0.0,
3.0,14.0,,0.0,11.2417
3.0,40.0,,0.0,9.475
2.0,27.0,1.0,0.0,21.0
2.0,,1.0,2.0,41.5792
,19.0,0.0,,
,,,,
3.0,7.0,4.0,,
3.0,21.0,0.0,,7.8
1.0,49.0,,0.0,
2.0,,1.0,0.0,26.0
1.0,65.0,0.0,,61.9792
2.0,21.0,0.0,0.0,10.5
3.0,,0.0,0.0,
2.0,5.0,,,27.75
3.0,11.0,5.0,2.0,46.9
3.0,22.0,0.0,0.0,
1.0,45.0,1.0,0.0,83.475
3.0,4.0,3.0,,
,29.0,0.0,0.0,10.5
3.0,,,0.0,8.1583
3.0,,4.0,2.0,
3.0,,,,8.6625
2.0,32.0,0.0,,10.5
3.0,,5.0,2.0,46.9
,21.0,0.0,0.0,
3.0,26.0,1.0,,
3.0,32.0,0.0,,56.4958
3.0,25.0,0.0,,
2.0,,0.0,2.0,29.0
,,0.0,,
3.0,22.0,0.0,0.0,9.0
3.0,29.0,0.0,0.0,
1.0,28.0,0.0,0.0,
,17.0,0.0,0.0,10.5
3.0,,,0.0,
,16.0,1.0,3.0,34.375
1.0,,,2.0,263.0
3.0,24.0,0.0,0.0,8.05
3.0,29.0,0.0,,8.05
3.0,,0.0,0.0,7.8542
1.0,,1.0,0.0,
3.0,26.0,1.0,,20.575
3.0,59.0,0.0,0.0,7.25
1.0,71.0,0.0,,34.6542
,,0.0,1.0,63.3583
2.0,34.0,0.0,1.0,23.0
2.0,34.0,1.0,0.0,26.0
3.0,28.0,,0.0,7.8958
1.0,21.0,0.0,,77.2875
3.0,33.0,0.0,0.0,8.6542
3.0,37.0,,0.0,7.925
3.0,28.0,0.0,,7.8958
,,0.0,0.0,
,,0.0,0.0,7.8958
1.0,47.0,,,52.0
